Column Name,Column Class,Category,Count,Category_right
X301,cat_col,黄色,5519,0
X301,cat_col,淡黄色,5258,0
X301,cat_col,桔黄色,3519,1
X301,cat_col,淡黄,365,0
X301,cat_col,深黄色,241,2
X301,cat_col,无色,183,3
X301,cat_col,桔黄,108,1
X301,cat_col,红色,74,4
X301,cat_col,黑黄色,60,5
X301,cat_col,桔红色,52,4
X301,cat_col,棕色,27,5
X301,cat_col,褐色,10,5
X301,cat_col,橘黄色,10,1
X301,cat_col,深棕,7,5
X301,cat_col,棕黄色,6,5
X301,cat_col,淡色,6,0
X301,cat_col,深黄,5,2
X301,cat_col,棕褐色,5,5
X301,cat_col,棕红色,4,5
X301,cat_col,黄褐色,4,5
X301,cat_col,暗红色,3,4
X301,cat_col,浅橙,3,1
X301,cat_col,橘红色,3,4
X301,cat_col,黄褐,2,5
X301,cat_col,淡红色,2,4
X301,cat_col,深红色,2,4
X301,cat_col,桔色,1,1
X301,cat_col,墨绿色,1,5
X301,cat_col,枯黄,1,1
X301,cat_col,黃色,1,0
X301,cat_col,淡黃,1,0
X301,cat_col,乳白色,1,5
X301,cat_col,.黄色,1,0
X301,cat_col,黄绿色,1,5
X301,cat_col,浅棕,1,5
X301,cat_col,肉红色,1,4
X301,cat_col,深黄是,1,2
X301,cat_col,橙色,1,1
X301,cat_col,很黄色,1,2
X301,cat_col,桔红,1,4
X302,cat_col,澄清,11286,0
X302,cat_col,浑浊,4061,2
X302,cat_col,微浑,140,1
X302,cat_col, ,1,NA
X303,cat_col,-,19726,0
X303,cat_col,+-,397,1
X303,cat_col,4+,257,5
X303,cat_col,1+,238,2
X303,cat_col,3+,235,4
X303,cat_col,2+,192,3
X304,cat_col,-,20503,0
X304,cat_col,1+,277,2
X304,cat_col,2+,142,3
X304,cat_col,3+,59,4
X304,cat_col,4+,56,5
X304,cat_col,+-,2,1
X305,cat_col,-,19447,0
X305,cat_col,+-,664,1
X305,cat_col,1+,616,2
X305,cat_col,2+,228,3
X305,cat_col,3+,64,4
X305,cat_col,4+,27,5
X305,cat_col, ,1,NA
X306,cat_col,-,16952,0
X306,cat_col,+-,1475,1
X306,cat_col,1+,1002,2
X306,cat_col,3+,848,4
X306,cat_col,2+,768,3
X306,cat_col,4+,1,5
X309,cat_col,-,15277,0
X309,cat_col,+-,3741,1
X309,cat_col,1+,1507,2
X309,cat_col,2+,405,3
X309,cat_col,3+,107,4
X309,cat_col,4+,9,5
X310,cat_col,3.2,12415,3.2
X310,cat_col,-,4928,3.2
X310,cat_col,33,1300,33
X310,cat_col,3.2,896,3.2
X310,cat_col,66,437,66
X310,cat_col,1+,334,33
X310,cat_col,16,210,16
X310,cat_col,33,180,33
X310,cat_col,131,129,131
X310,cat_col,66,67,66
X310,cat_col,16,45,16
X310,cat_col,197,43,197
X310,cat_col,131,17,131
X310,cat_col,>=131.0,14,131
X310,cat_col,2+,13,131
X310,cat_col,197,8,197
X310,cat_col,32,3,32
X310,cat_col,3+,2,197
X310,cat_col,34,1,34
X311,cat_col,-,20068,0
X311,cat_col,2+,602,3
X311,cat_col,1+,300,2
X311,cat_col,+,74,2
X311,cat_col,3+,2,4
X311,cat_col,+-,1,1
X312,cat_col,-,16628,0
X312,cat_col,1+,1236,2
X312,cat_col,2+,939,3
X312,cat_col,4+,830,5
X312,cat_col,3+,749,4
X312,cat_col,+-,559,1
X312,cat_col, ,1,NA
X328,cat_col,No hint,6830,NA
X328,cat_col,No classified,2178,3
X328,cat_col,homogeneity,732,0
X328,cat_col,mixture,445,1
X328,cat_col,inhomogeneity,204,2
X331,cat_col,-,4833,0
X331,cat_col,1+,100,2
X331,cat_col,2+,63,3
X331,cat_col,3+,24,4
X331,cat_col,4+,1,5
X332,cat_col,-,4833,0
X332,cat_col,1+,210,2
X332,cat_col,2+,96,3
X332,cat_col,3+,22,4
X332,cat_col,4+,2,5
X333,cat_col,-,5002,0
X333,cat_col,1+,5,1
X333,cat_col,2+,3,2
X333,cat_col,3+,3,3
X334,cat_col,-,5002,0
X334,cat_col,1+,1,1
X335,cat_col,-,4714,0
X335,cat_col,1+,25,1
X335,cat_col,2+,6,2
X335,cat_col,3+,5,3
X336,cat_col,-,656,0
X336,cat_col,?,1,NA
X337,cat_col,-,657,0
X338,cat_col,-,657,0
X401,cat_col,黄褐色,6539,0
X401,cat_col,黄色,1533,0
X401,cat_col,褐色,98,0
X401,cat_col,黄绿色,20,1
X401,cat_col,棕色,11,1
X401,cat_col,红色,9,1
X401,cat_col,黑色,9,1
X401,cat_col,淡黄色,8,1
X401,cat_col,绿色,4,1
X401,cat_col,黑褐色,2,1
X401,cat_col,暗红色,2,1
X401,cat_col,灰色,2,1
X401,cat_col,红褐色,2,1
X401,cat_col,褐黑色,1,1
X401,cat_col,灰白色,1,1
X401,cat_col,褐血,1,1
X401,cat_col,黄棕色,1,1
X401,cat_col,墨绿色,1,1
X401,cat_col,黄红色,1,1
X401,cat_col,棕绿色,1,1
X401,cat_col,深褐色,1,1
X401,cat_col,棕褐色,1,1
X401,cat_col,绿褐色,1,1
X402,cat_col,软便,7160,0
X402,cat_col,稀便,1005,1
X402,cat_col,水样便,52,1
X402,cat_col,干便,10,1
X402,cat_col,粘液样便,7,1
X402,cat_col,粘液便,5,1
X402,cat_col,柏油样便,3,1
X402,cat_col,硬便,2,1
X402,cat_col,柏油样,1,1
X402,cat_col,糊状,1,1
X402,cat_col,果冻状,1,1
X402,cat_col,脓血便,1,1
X402,cat_col,血便,1,1
X403,cat_col,-,6314,0
X403,cat_col,1+,1361,2
X403,cat_col,+-,551,1
X403,cat_col,+,15,2
X404,cat_col,-,267,0
X404,cat_col,+-,1,5
X404,cat_col,满视野,5,10000
X404,cat_col,稀布视野,1,1000
X406,cat_col,-,8249,0
X407,cat_col,-,7974,0
X408,cat_col,-,7974,0
X409,cat_col,-,7974,0
X410,cat_col,-,7920,0
X410,cat_col,1+,47,2
X410,cat_col,2+,7,3
X410,cat_col,+-,3,1
X410,cat_col,3+,1,4
X411,cat_col,-,7915,0
X411,cat_col,少量,37,1
X411,cat_col,中量,11,1
X411,cat_col,1+,4,1
X411,cat_col,大量,3,1
X412,cat_col,-,7965,0
X412,cat_col,1+,2,1
X412,cat_col,少量,2,1
